year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
2019,11000,0,1,1,0,19.3,1968.0,141.0,5.0
2016,60000,0,0,0,0,26.0,1498.0,98.6,5.0
2017,60000,0,0,0,0,24.3,1248.0,88.5,5.0
2006,120000,0,0,0,2,10.5,2179.0,120.0,8.0
2017,16000,1,1,1,0,14.74,1991.0,181.04,5.0
2015,80000,1,0,0,1,23.95,998.0,67.05,5.0
2018,25000,1,0,0,0,16.8,796.0,34.2,8.0
2015,60000,1,0,0,0,20.62,1198.0,67.0,7.0
2018,50000,0,0,0,0,24.0,1186.0,73.97,5.0
2015,70000,0,0,0,1,26.59,1248.0,74.0,5.0
2011,291000,0,0,0,1,12.8,2494.0,102.0,7.0
2016,40000,0,0,0,0,24.52,1248.0,88.5,7.0
2012,56000,1,0,0,0,21.1,814.0,55.2,5.0
2012,110000,0,0,1,0,11.4,2953.0,153.86,7.0
2016,30000,1,0,0,0,18.9,1197.0,82.0,5.0
2019,36800,0,1,0,0,20.14,1498.0,88.0,5.0
2015,35000,0,0,0,0,20.45,1461.0,83.8,5.0
2015,120000,0,0,0,1,20.34,1498.0,103.2,5.0
2012,67000,0,0,0,1,23.08,1461.0,63.12,5.0
2016,50000,1,0,1,0,21.4,1197.0,83.1,5.0
2011,25000,1,0,0,1,19.7,796.0,46.3,5.0
2015,125000,0,0,0,0,21.04,1461.0,83.8,8.0
2013,97000,0,0,0,0,22.9,1248.0,74.0,5.0
2016,40800,1,0,0,0,21.1,814.0,55.2,5.0
2015,80000,1,0,0,0,18.2,1199.0,82.4,5.0
2013,31377,1,0,0,1,18.5,1197.0,82.85,5.0
2011,60000,1,0,0,1,18.06,1198.0,75.0,5.0
2014,86000,0,0,0,1,14.0,2179.0,138.1,7.0
2019,10000,1,0,1,0,21.4,1197.0,83.1,5.0
2011,90400,0,0,0,0,20.0,1399.0,68.0,5.0
2017,47000,1,0,0,0,20.51,998.0,67.04,5.0
2011,35000,1,0,0,0,21.1,814.0,55.2,5.0
2014,100000,0,0,0,1,25.0,1396.0,69.01,5.0
2005,50000,1,0,0,1,15.3,1341.0,83.0,5.0
2015,90000,0,0,0,1,25.1,1498.0,98.6,5.0
2016,80000,0,0,0,0,25.32,1198.0,77.0,6.0
2018,70000,0,0,0,0,18.49,2179.0,120.0,9.0
2015,80000,1,0,0,0,22.74,796.0,47.3,5.0
2015,68203,1,1,0,0,21.79,998.0,67.05,5.0
2018,25000,1,0,1,0,24.04,999.0,67.0,5.0
2017,50000,0,0,1,0,19.6,1461.0,108.45,5.0
2019,9000,1,1,0,0,18.6,1197.0,81.83,5.0
2017,70000,0,0,0,0,24.52,1248.0,88.5,7.0
2017,60000,0,0,0,0,14.1,2179.0,147.94,7.0
2017,35000,1,0,0,0,24.7,796.0,47.3,5.0
2016,25000,1,0,0,0,17.57,1193.0,88.7,5.0
2019,10000,0,1,1,0,18.12,1995.0,190.0,5.0
2011,64481,0,1,0,1,20.5,1598.0,103.5,5.0
2018,90000,1,0,0,0,17.0,1497.0,121.36,5.0
2019,4500,1,0,0,0,19.5,1199.0,88.76,5.0
2010,100000,1,0,0,1,16.0,1368.0,90.0,5.0
2008,110000,1,0,0,1,17.7,1497.0,78.0,5.0
2012,30078,1,1,0,0,15.3,1396.0,70.0,5.0
2008,126000,0,0,0,2,12.8,2494.0,102.0,8.0
2000,60000,1,0,0,0,18.5,796.0,53.0,5.0
2017,54000,1,0,0,0,24.7,796.0,47.3,5.0
2016,49600,0,0,0,1,25.32,1198.0,77.0,6.0
2018,10000,1,0,0,1,20.3,998.0,68.05,5.0
2018,7976,0,0,1,0,17.9,2143.0,170.0,5.0
2012,70000,0,0,0,1,25.44,936.0,57.6,5.0
2012,12000,1,0,0,0,16.84,1193.0,64.4,5.0
2010,70000,1,0,0,0,17.0,1197.0,80.0,5.0
2019,11500,1,1,1,4,15.26,1798.0,187.74,5.0
2011,90000,1,0,0,1,18.06,1198.0,75.0,5.0
2017,155000,0,0,0,0,25.0,1396.0,69.01,5.0
2018,5000,1,0,0,0,23.01,999.0,67.0,5.0
2011,70000,1,0,0,0,16.36,1495.0,93.7,5.0
2019,14548,1,1,0,0,21.21,1197.0,81.8,5.0
2015,70000,0,0,0,0,25.83,1498.0,99.0,5.0
1998,50000,1,0,0,1,17.3,993.0,60.0,5.0
2016,70000,0,0,0,0,25.2,1248.0,74.0,5.0
2008,95200,1,0,0,2,13.2,1495.0,94.0,5.0
2006,305000,0,0,0,3,12.8,2494.0,102.0,8.0
2010,80000,0,0,0,0,17.8,1248.0,75.0,5.0
2015,40000,0,0,0,0,25.44,936.0,56.3,5.0
2016,100000,0,0,0,0,25.2,1248.0,74.0,5.0
2020,13000,1,0,0,0,21.63,998.0,67.04,5.0
2011,40000,1,0,0,0,18.9,998.0,67.1,5.0
2016,25000,0,0,0,1,13.68,2393.0,147.8,7.0
2014,37000,1,0,0,0,16.95,1498.0,97.7,5.0
2016,65755,1,0,0,0,21.4,1197.0,83.1,5.0
2016,38000,1,1,0,0,24.7,796.0,47.3,5.0
2019,5000,1,0,0,0,20.0,999.0,72.0,7.0
2014,28100,1,1,1,0,0.0,1197.0,103.25,5.0
2017,25000,1,0,0,0,24.7,796.0,47.3,5.0
2018,16000,0,1,1,0,28.4,1248.0,74.0,5.0
2013,116104,0,1,0,0,25.8,1498.0,98.6,5.0
2014,30000,1,0,0,1,20.36,1197.0,78.9,5.0
2007,80000,1,0,0,2,19.7,796.0,46.3,5.0
2019,23000,0,0,0,0,20.45,1461.0,108.5,5.0
2015,40000,0,0,1,0,18.49,1493.0,100.0,7.0
2015,70000,0,0,0,0,15.4,1997.0,120.0,7.0
2014,70000,0,0,0,1,15.96,2523.0,62.1,7.0
2011,80000,0,0,0,0,22.32,1582.0,126.32,5.0
2011,170000,3,0,0,0,11.88,1086.0,62.1,5.0
2011,157000,0,0,0,1,22.32,1582.0,126.3,5.0
2009,70000,1,0,0,1,14.2,1597.0,92.0,5.0
2013,146000,0,0,0,1,15.96,2523.0,62.1,7.0
2013,70000,0,1,0,1,28.4,1248.0,74.0,5.0
2016,40000,1,0,0,0,18.15,1198.0,82.0,6.0
2009,120000,0,0,0,0,13.6,2523.0,63.0,7.0
2017,5000,1,0,0,0,25.17,799.0,53.3,5.0
2017,35000,0,0,0,1,27.39,1248.0,74.0,5.0
2012,100000,0,1,0,0,23.08,1461.0,63.1,5.0
2014,125000,0,0,0,0,22.32,1582.0,126.32,5.0
2013,46815,0,0,0,1,22.1,1248.0,76.9,5.0
2014,72000,0,1,0,0,26.0,1498.0,98.6,5.0
2011,81500,0,0,1,1,14.84,2143.0,167.62,5.0
2009,120000,1,0,0,3,18.9,1061.0,67.0,5.0
2015,60000,0,0,0,0,22.54,1396.0,88.73,5.0
2014,30000,1,0,0,1,18.9,1197.0,81.86,5.0
2003,60000,1,0,0,3,17.3,993.0,60.0,5.0
2014,70000,1,0,0,0,21.1,814.0,55.2,5.0
2013,100000,0,0,0,2,20.77,1248.0,88.8,7.0
2013,67000,1,0,0,0,18.6,1197.0,85.8,5.0
2016,70000,0,0,0,1,28.09,1248.0,88.5,5.0
2008,90000,0,0,0,1,17.8,1248.0,75.0,5.0
2010,70000,0,0,0,1,11.57,2179.0,138.1,7.0
2012,35000,1,0,0,0,18.9,998.0,67.1,5.0
2018,12000,1,0,0,0,20.89,1197.0,81.8,5.0
2012,175000,0,0,0,1,21.5,1248.0,88.8,5.0
2019,16034,0,1,0,0,21.7,1498.0,98.96,5.0
2009,120000,0,0,0,0,19.3,1248.0,73.9,5.0
2019,90000,1,0,0,0,23.01,999.0,67.0,5.0
2011,80000,1,0,0,1,21.1,814.0,55.2,5.0
2014,28800,1,1,0,0,18.6,1197.0,81.83,5.0
2007,75000,1,0,0,0,19.7,796.0,46.3,5.0
2011,15000,1,0,0,0,15.6,1196.0,70.0,5.0
2010,108957,0,0,0,0,13.93,2179.0,138.0,7.0
2016,80000,0,0,0,1,24.3,1248.0,88.5,5.0
2008,120000,0,0,0,2,17.8,1248.0,75.0,5.0
2013,90000,0,0,0,1,22.9,1248.0,74.0,5.0
2014,50000,1,0,0,0,21.1,814.0,55.2,5.0
2010,26432,1,1,0,0,25.4,624.0,37.48,4.0
2008,40000,1,0,0,1,16.1,796.0,37.0,4.0
2015,57000,0,1,0,0,23.65,1248.0,88.5,5.0
2014,120000,0,0,0,1,23.4,1248.0,74.0,5.0
2017,58559,0,1,0,0,25.2,1248.0,74.0,5.0
2013,70000,1,0,0,0,18.6,1199.0,79.4,5.0
2016,70000,1,0,0,1,17.57,1193.0,88.7,5.0
2019,2000,0,0,0,0,15.96,2523.0,63.0,9.0
2012,18000,1,1,0,0,25.4,624.0,37.5,4.0
2019,60000,0,0,0,0,22.54,1396.0,88.76,5.0
2017,70000,0,0,0,0,19.09,1405.0,69.01,5.0
2010,116700,1,0,0,3,15.0,1368.0,90.0,5.0
2017,40000,0,0,0,0,21.66,1498.0,108.62,5.0
2014,35000,1,0,0,0,21.1,814.0,55.2,5.0
2019,5000,1,0,0,0,21.21,1197.0,81.8,5.0
2012,108000,0,1,1,0,17.42,1968.0,175.0,5.0
2010,100000,0,0,0,1,18.0,1248.0,75.0,5.0
2016,34000,0,0,0,1,24.4,1120.0,71.0,5.0
2014,65000,0,0,0,0,25.2,1248.0,74.0,5.0
2007,120000,0,0,0,1,19.2,1461.0,65.0,5.0
2015,10000,1,0,0,0,18.16,1197.0,78.8,5.0
2017,89000,0,0,0,0,27.28,1047.0,69.0,5.0
2007,80000,1,0,0,1,18.2,1061.0,64.0,5.0
2017,32000,1,1,0,0,14.0,796.0,35.0,5.0
2010,70000,1,0,0,0,18.6,1199.0,79.4,5.0
2018,60000,0,0,0,0,15.4,2523.0,75.0,7.0
2017,35000,1,0,0,0,17.57,1193.0,88.7,5.0
2015,60000,0,0,0,0,22.95,1248.0,74.0,5.0
2018,48000,1,0,0,1,21.1,998.0,100.5,5.0
2010,110000,1,0,0,0,20.36,1197.0,78.9,5.0
2009,70000,1,0,0,1,19.7,796.0,46.3,5.0
2019,5000,1,0,0,0,21.4,1197.0,83.1,5.0
2014,185000,0,0,0,2,19.5,1248.0,75.0,5.0
2016,120000,0,0,1,0,16.0,2179.0,140.0,7.0
2016,20000,1,0,0,0,22.74,796.0,47.3,5.0
2015,80000,0,0,0,0,25.83,1498.0,99.0,5.0
2014,90000,0,0,0,0,20.77,1248.0,88.8,7.0
2016,80000,0,0,0,1,23.59,1364.0,67.05,5.0
2018,33000,0,0,0,0,27.28,1047.0,69.0,5.0
2019,7000,1,0,1,0,18.9,1197.0,81.86,5.0
2010,120000,1,0,0,2,18.9,1061.0,67.0,5.0
2016,60000,1,0,0,0,18.16,1196.0,86.8,5.0
2014,145241,0,0,0,0,12.05,2179.0,120.0,7.0
2017,15151,1,0,0,1,21.1,814.0,55.2,5.0
2016,110000,0,0,0,0,26.0,1498.0,98.6,5.0
2014,60000,0,0,1,0,11.0,2982.0,170.3,7.0
2011,100000,0,0,0,1,15.96,2523.0,63.0,9.0
2015,100000,1,0,0,0,18.9,1197.0,82.0,5.0
2011,56000,0,0,0,0,13.0,2489.0,95.0,8.0
2017,162000,0,0,0,0,14.1,2179.0,147.94,7.0
2013,70000,0,0,0,1,12.99,2494.0,100.0,8.0
2017,25000,1,0,0,0,23.95,998.0,67.05,5.0
2008,85000,0,0,0,1,16.8,1493.0,110.0,5.0
2012,70000,0,0,0,1,21.5,1248.0,88.8,5.0
2016,35000,1,0,0,1,22.74,796.0,47.3,5.0
2014,60000,1,0,0,1,20.51,998.0,67.04,5.0
2016,52000,0,1,0,0,23.65,1248.0,88.5,5.0
2019,20000,0,0,1,0,18.0,1969.0,190.0,5.0
2014,110000,0,0,0,0,24.0,1120.0,70.0,5.0
2011,80000,1,0,0,2,17.0,1497.0,118.0,5.0
2017,30030,1,1,0,0,18.6,1197.0,81.83,5.0
2013,90000,0,0,0,1,12.05,2179.0,120.0,8.0
2013,25000,1,0,0,0,18.5,1197.0,82.85,5.0
2017,30000,1,0,0,0,18.9,1197.0,81.86,5.0
2016,46737,1,0,0,0,22.74,796.0,47.3,5.0
2001,10000,1,0,0,0,17.3,993.0,60.0,5.0
2011,70000,0,0,0,1,22.9,1248.0,74.0,5.0
2014,123000,0,0,0,0,19.01,1461.0,108.45,5.0
2017,80000,1,0,0,0,20.73,1373.0,91.1,5.0
2012,70000,0,0,0,1,21.64,1461.0,84.8,5.0
2008,100000,0,0,0,1,17.8,1248.0,75.0,5.0
2010,50000,1,1,0,0,20.36,1197.0,78.9,5.0
2019,30000,0,0,0,0,23.0,1498.0,98.96,5.0
2013,50000,0,0,1,0,11.74,2987.0,254.8,5.0
2016,40000,1,0,0,0,18.9,1197.0,82.0,5.0
2018,40000,1,0,0,1,17.0,1198.0,108.5,5.0
2020,60000,0,0,0,0,25.32,1198.0,77.0,6.0
2014,40000,1,0,0,1,18.9,1197.0,82.0,5.0
2018,30000,0,0,0,0,21.19,1396.0,88.76,5.0
2011,116500,0,0,0,0,23.0,1396.0,90.0,5.0
2006,93000,1,0,0,1,16.1,1197.0,85.0,5.0
2017,80000,0,0,0,0,22.95,1248.0,74.0,5.0
2012,80000,1,0,0,0,20.92,998.0,67.1,5.0
2016,80000,0,1,0,0,27.39,1248.0,74.0,5.0
2014,80000,0,0,0,1,23.4,1248.0,74.0,5.0
2003,250000,0,0,0,1,18.7,1896.0,66.0,5.0
2017,30000,1,0,0,0,18.6,1197.0,81.83,5.0
2015,74000,0,0,0,1,24.4,1120.0,71.0,5.0
2016,90000,0,0,0,0,12.99,2494.0,100.6,8.0
2018,27000,0,1,1,0,17.05,1995.0,184.0,5.0
2014,80000,0,0,0,1,23.4,1248.0,74.0,5.0
2004,120000,1,0,0,3,14.4,1599.0,94.0,5.0
2017,12000,0,0,0,0,17.1,1956.0,170.0,5.0
2014,30000,1,0,0,0,19.1,1197.0,82.0,5.0
2012,90000,0,0,0,1,22.9,1248.0,74.0,5.0
2007,110000,0,0,1,3,16.07,1995.0,181.0,5.0
2007,144000,2,0,0,1,10.9,796.0,32.8,5.0
2011,90000,1,0,0,0,19.7,796.0,46.3,5.0
2018,46000,0,0,0,0,28.4,1248.0,74.0,5.0
2012,60000,1,0,0,2,18.9,998.0,67.1,5.0
2012,70000,0,0,0,2,19.3,1248.0,73.9,5.0
2019,45000,1,0,1,0,22.0,1197.0,81.8,5.0
2018,33000,1,1,0,0,20.89,1197.0,81.8,5.0
2017,8000,1,0,0,0,21.1,814.0,55.2,5.0
2012,50000,1,0,0,0,16.95,1498.0,97.7,5.0
2011,120000,1,0,0,1,16.25,1198.0,73.9,5.0
2019,13000,1,0,0,0,18.9,1197.0,81.86,5.0
2012,90000,1,0,0,2,20.92,998.0,67.1,5.0
2015,22700,1,0,0,0,18.7,1199.0,88.7,5.0
2007,62000,1,0,0,1,16.1,796.0,37.0,4.0
2011,100000,0,0,0,0,20.0,1399.0,68.0,5.0
2010,90000,0,0,0,0,17.0,1405.0,70.0,5.0
2015,20000,1,0,0,0,19.1,1197.0,82.0,5.0
2010,90000,0,0,0,1,18.3,1991.0,147.9,5.0
2015,40000,1,0,0,1,16.02,1373.0,93.7,7.0
2017,35000,0,0,1,1,21.72,1498.0,108.6,5.0
2018,50000,0,0,0,0,24.3,1248.0,88.5,5.0
2018,18000,0,0,0,0,21.66,1498.0,108.62,5.0
2013,56000,0,1,0,0,22.1,1248.0,74.0,5.0
2019,70000,0,0,0,0,28.4,1248.0,74.02,5.0
2017,20000,1,0,0,0,18.9,1197.0,81.86,5.0
2000,100000,1,0,0,1,16.1,796.0,37.0,4.0
2012,90000,0,0,0,2,12.05,2179.0,120.0,8.0
2017,28000,1,0,0,0,24.7,796.0,47.3,5.0
2016,80000,1,0,0,1,18.9,1197.0,82.0,5.0
2018,25000,0,0,0,0,25.1,1248.0,88.5,5.0
2016,35000,1,0,0,0,22.74,796.0,47.3,5.0
2011,90000,0,0,0,1,20.0,1399.0,68.0,5.0
2019,15000,1,0,0,0,23.95,998.0,67.05,5.0
2014,120000,0,0,0,0,12.05,2179.0,120.0,7.0
2017,90000,1,0,0,0,20.14,1197.0,81.86,5.0
2016,35000,1,0,0,0,19.49,1198.0,67.04,5.0
2007,120000,1,0,0,2,15.0,1586.0,104.68,5.0
2014,150000,0,0,0,2,23.4,1248.0,74.0,5.0
2015,80000,0,0,0,1,23.59,1364.0,67.05,5.0
1997,110000,1,0,0,1,16.1,796.0,37.0,4.0
2013,80000,0,0,0,1,12.99,2494.0,100.6,7.0
2011,90000,0,0,0,0,20.54,1598.0,103.6,5.0
2014,70000,0,0,0,1,23.4,1248.0,74.0,5.0
2007,147500,0,0,0,1,12.8,2494.0,102.0,7.0
2013,50000,1,0,0,1,18.9,998.0,67.1,5.0
2017,90000,0,0,0,0,15.4,2179.0,120.0,7.0
2015,35000,0,1,1,1,19.7,2143.0,134.1,5.0
2015,50000,1,0,0,0,25.17,799.0,53.3,5.0
2015,210000,1,0,0,1,25.17,799.0,53.3,5.0
2015,190000,0,0,0,0,12.99,2494.0,100.6,7.0
2013,112011,0,0,0,0,13.93,2179.0,138.1,7.0
2014,60000,1,0,0,0,19.1,1197.0,85.8,5.0
2018,120000,0,0,0,0,28.4,1248.0,74.02,5.0
2015,50000,1,0,0,0,17.4,1497.0,117.3,5.0
2012,160000,0,0,1,0,11.5,2982.0,169.0,7.0
2014,90000,0,0,0,1,13.58,2499.0,72.4,9.0
2019,20000,0,0,0,0,25.47,1248.0,88.5,7.0
2013,84000,0,0,1,1,16.96,1968.0,138.03,5.0
2013,35000,1,0,0,1,20.36,1197.0,78.9,5.0
2008,100000,1,0,0,0,15.2,1193.0,65.0,5.0
2017,20000,1,0,0,0,11.96,1298.0,80.0,8.0
2019,16500,1,1,0,0,17.0,1197.0,110.0,5.0
2010,70000,1,0,0,1,20.36,1197.0,78.9,5.0
2012,210000,0,0,0,1,19.3,1248.0,73.9,5.0
2012,84487,0,0,0,3,15.1,2179.0,140.0,7.0
2009,89322,1,0,0,1,17.0,1197.0,80.0,5.0
2016,30000,0,0,0,0,24.0,1120.0,70.0,5.0
2009,60000,1,0,0,2,19.7,796.0,46.3,5.0
2016,120000,0,0,0,0,24.52,1248.0,88.5,7.0
2013,32000,1,0,0,0,16.8,1497.0,116.3,5.0
2010,30000,1,0,0,2,19.7,796.0,46.3,5.0
2016,15000,1,0,0,0,23.84,1199.0,84.0,5.0
2016,70000,1,0,0,0,20.51,998.0,67.04,5.0
2013,45000,1,0,0,1,21.1,814.0,55.2,5.0
2008,100000,0,0,0,0,14.8,1998.0,68.0,5.0
2019,18500,1,0,0,0,20.3,1086.0,68.0,5.0
2017,16200,0,0,0,0,24.3,1248.0,88.5,5.0
2013,90000,0,0,0,1,20.5,1598.0,103.5,5.0
2015,80000,1,0,0,0,16.02,1373.0,93.7,7.0
2015,15000,0,0,0,1,20.77,1248.0,88.76,7.0
2011,80000,0,0,0,1,20.0,1399.0,68.0,5.0
2009,80000,1,0,0,1,18.0,995.0,62.0,5.0
2018,9000,1,1,0,0,19.1,1197.0,85.8,5.0
2013,139000,0,0,0,0,20.77,1248.0,88.76,7.0
2018,25000,1,0,0,0,19.0,1194.0,94.68,5.0
2016,15000,1,0,0,0,22.74,796.0,47.3,5.0
2015,90000,0,0,0,0,26.21,1248.0,88.5,5.0
2018,30000,1,0,0,0,24.7,796.0,47.3,5.0
2019,25000,0,0,0,0,21.66,1498.0,108.62,5.0
2019,10000,1,0,0,0,21.4,1197.0,83.1,5.0
2018,35000,1,0,0,0,17.5,1199.0,88.7,5.0
2012,175000,0,0,0,3,19.3,1248.0,73.9,5.0
2015,60000,0,0,0,1,13.49,2179.0,138.03,5.0
2020,5000,3,0,0,0,21.94,1196.0,61.7,5.0
2018,25000,0,0,0,0,17.6,2179.0,153.86,7.0
2011,100000,0,0,0,1,13.6,2523.0,63.0,7.0
2008,100000,1,0,0,2,18.9,1061.0,67.0,5.0
2016,14000,1,0,0,1,18.6,1197.0,81.83,5.0
2009,170000,0,0,0,2,12.8,2494.0,102.0,8.0
2014,11500,0,0,0,0,15.96,2523.0,63.0,9.0
2015,140000,0,0,0,0,16.0,2179.0,140.0,7.0
2011,95000,0,0,1,1,11.79,2179.0,120.0,8.0
2018,27000,1,0,0,0,15.8,1591.0,121.3,5.0
2012,195000,0,0,0,1,21.12,1248.0,88.8,5.0
2006,120000,0,0,0,2,16.8,1405.0,68.0,5.0
2015,24700,0,0,0,0,16.0,2179.0,140.0,7.0
2011,115000,0,0,0,3,21.5,1248.0,88.8,5.0
2014,31000,1,1,1,1,17.21,1197.0,103.6,5.0
2014,90000,0,0,1,1,21.21,1498.0,103.2,5.0
2016,25000,1,0,0,0,17.01,1591.0,121.3,5.0
2017,62960,0,1,0,0,25.83,1498.0,99.0,5.0
2018,23000,0,0,0,0,28.4,1248.0,74.0,5.0
2017,35000,1,1,0,0,17.0,1197.0,80.0,5.0
2018,40000,1,0,0,0,20.73,1373.0,91.1,5.0
2017,26634,1,1,1,0,21.21,1197.0,81.8,5.0
2009,140000,1,0,0,2,19.0,998.0,66.1,5.0
2017,20000,1,0,1,0,20.51,998.0,67.0,5.0
2019,100000,1,0,0,0,20.14,1197.0,81.86,5.0
2016,10500,1,0,0,0,18.16,1196.0,86.8,5.0
2012,28000,1,0,0,1,25.4,624.0,37.5,4.0
2015,110000,0,0,0,0,14.1,2179.0,147.94,7.0
2013,70000,0,0,0,1,20.14,1498.0,88.5,5.0
2012,138000,0,0,0,1,12.8,2494.0,102.0,8.0
2007,120000,1,0,0,2,19.7,796.0,46.3,5.0
2018,15000,1,0,0,0,24.7,796.0,47.3,5.0
2014,48000,0,0,0,0,21.7,1498.0,98.96,5.0
2011,70000,1,0,0,1,14.0,796.0,35.0,5.0
2019,30000,0,0,0,0,15.96,2523.0,62.1,7.0
2017,20000,0,0,0,0,14.1,2179.0,147.94,7.0
2017,20000,0,0,0,0,24.0,1186.0,73.97,5.0
2009,70000,1,0,0,1,17.3,1061.0,64.0,5.0
2019,2600,0,0,0,0,23.0,1498.0,98.96,5.0
2017,13663,0,1,1,0,22.69,1995.0,190.0,5.0
2012,90000,0,0,1,0,19.08,1582.0,126.32,5.0
2018,27620,0,1,0,0,22.77,1498.0,98.59,5.0
2017,54470,0,1,0,0,15.4,2179.0,120.0,7.0
2013,80000,0,0,0,0,22.07,1199.0,73.9,5.0
2019,28000,1,0,1,0,18.9,1197.0,81.86,5.0
2006,80000,1,0,0,2,18.9,998.0,67.1,5.0
2013,30000,1,0,0,0,25.4,624.0,37.48,4.0
2014,70000,0,0,0,1,22.32,1582.0,126.32,5.0
2016,60000,0,0,1,0,22.15,1498.0,108.6,5.0
2005,90000,1,0,0,1,18.9,998.0,67.1,5.0
2007,70000,1,0,1,1,10.1,2354.0,152.0,5.0
2014,42312,0,1,0,0,24.4,1120.0,71.0,5.0
2017,100000,1,0,0,0,21.1,814.0,55.2,5.0
2012,100000,0,0,0,2,23.08,1461.0,63.12,5.0
2016,50000,0,0,0,0,24.52,1248.0,88.5,7.0
2015,62000,0,1,0,0,21.0,1498.0,74.96,7.0
2018,55000,1,1,1,0,21.9,624.0,37.48,4.0
2019,19000,1,0,1,1,20.89,1197.0,81.8,5.0
2012,140000,0,0,0,0,20.77,1248.0,88.76,7.0
2015,50000,0,0,0,0,26.59,1248.0,74.0,5.0
2012,110000,0,0,0,2,19.33,1968.0,138.1,5.0
2012,90000,1,0,0,0,20.92,998.0,67.1,5.0
2013,100000,0,0,0,2,18.2,1248.0,73.8,7.0
2008,80000,0,0,0,2,13.5,1995.0,52.0,5.0
2009,164000,0,0,0,1,19.3,1248.0,73.9,5.0
2017,70000,0,0,0,0,25.8,1498.0,98.6,5.0
2018,4295,1,2,0,0,17.1,1496.0,105.5,5.0
2014,70000,0,0,0,0,15.96,2523.0,62.1,7.0
2012,70000,0,0,0,1,21.03,1461.0,65.0,5.0
2014,100000,0,0,0,3,22.54,1396.0,88.73,5.0
2011,80000,0,0,0,0,20.0,1399.0,68.0,5.0
2006,90000,0,0,0,0,12.7,2609.0,116.6,8.0
2013,149000,0,0,0,0,23.4,1248.0,74.0,5.0
2012,60000,0,0,0,2,20.5,1598.0,105.0,5.0
2013,195000,0,0,0,0,14.0,2523.0,75.0,8.0
2013,30000,1,0,0,1,20.36,1197.0,78.9,5.0
2017,50000,0,0,0,0,24.3,1248.0,88.5,5.0
2014,60000,1,0,0,0,19.0,998.0,67.1,5.0
2017,26766,0,1,0,0,21.5,1497.0,108.5,5.0
2006,100000,1,0,0,1,17.7,1497.0,78.0,5.0
2020,5500,0,1,0,0,26.8,1597.0,118.0,5.0
2019,10000,1,0,0,0,15.37,1196.0,73.0,5.0
2014,110000,0,0,0,1,20.14,1498.0,88.8,5.0
2015,130000,0,0,1,0,12.55,2982.0,168.5,7.0
2017,80000,0,0,0,0,25.32,1198.0,77.0,6.0
2017,70000,1,0,0,0,15.37,1196.0,73.0,5.0
2012,120000,0,0,0,1,21.03,1461.0,65.0,5.0
2010,50000,1,0,0,0,15.0,1586.0,104.68,5.0
2012,120000,0,0,0,0,15.1,2179.0,140.0,7.0
2014,30000,0,0,1,0,9.0,1984.0,181.0,5.0
2012,60000,0,0,0,1,25.44,936.0,57.6,5.0
2018,24000,0,0,0,0,13.68,2393.0,147.8,8.0
2012,145000,0,0,0,2,22.9,1248.0,74.0,5.0
2005,120000,1,0,0,0,13.0,1493.0,100.0,5.0
2011,40000,1,0,0,0,19.7,796.0,46.3,5.0
2015,35000,1,0,0,1,18.6,1197.0,81.83,5.0
2018,10000,1,0,0,0,21.1,814.0,55.2,5.0
2015,39414,1,1,0,0,18.9,1197.0,81.86,5.0
2017,40000,1,0,0,0,19.49,1198.0,67.04,5.0
2018,60000,0,0,0,0,16.5,1493.0,70.0,7.0
2008,60000,0,0,0,1,16.8,1405.0,68.0,5.0
2011,100000,1,0,0,1,19.7,796.0,46.3,5.0
2013,76000,0,0,0,0,25.44,936.0,57.6,5.0
2009,75000,1,0,0,2,18.9,1061.0,67.0,5.0
2008,70000,1,0,0,2,19.7,796.0,46.3,5.0
2016,72113,0,0,0,0,21.9,1498.0,98.6,7.0
2017,30000,1,0,0,1,18.6,1197.0,81.83,5.0
2010,100000,0,0,0,3,21.9,1396.0,90.0,5.0
2016,25000,1,0,0,1,23.1,998.0,67.04,5.0
2015,100000,0,0,1,1,15.26,2143.0,203.2,5.0
2012,70000,0,0,0,0,18.6,1388.0,67.0,5.0
2015,173000,0,0,0,0,16.0,2179.0,140.0,7.0
2012,40000,0,0,0,0,20.0,1399.0,68.0,5.0
2013,60000,1,0,0,1,22.74,796.0,47.3,5.0
2019,19000,1,1,1,0,13.96,1451.0,141.0,5.0
2012,40000,1,0,0,0,18.9,998.0,67.1,5.0
2014,83000,0,0,0,2,22.32,1582.0,126.32,5.0
2015,25000,1,0,0,0,15.85,1499.0,110.4,5.0
2007,50000,1,0,0,1,15.26,1150.0,74.9,5.0
2008,120000,0,0,0,3,11.57,2179.0,138.1,7.0
2016,60000,1,0,0,0,15.37,1196.0,73.0,5.0
2012,70000,0,0,0,0,23.2,1248.0,73.94,5.0
2016,15000,1,0,0,0,18.2,1199.0,82.4,5.0
2009,110000,1,0,0,1,19.7,796.0,46.3,5.0
2014,100000,1,0,0,0,19.81,1086.0,68.05,5.0
2018,15000,1,0,0,0,17.0,1198.0,108.5,5.0
2012,120000,0,0,0,1,17.8,1405.0,70.0,5.0
2006,110000,1,0,0,1,17.7,1497.0,78.0,5.0
2014,80000,0,0,0,0,23.4,1248.0,74.0,5.0
2012,27500,1,0,0,0,18.5,1197.0,82.9,5.0
2017,3564,1,0,0,0,23.95,998.0,67.05,5.0
